cve_id,published_date,cvss_base_score,description,exploited_observed
CVE-2024-1000,2024-01-01,5.501838917161539,Authentication bypass in API gateway component.,0
CVE-2024-1001,2024-01-03,5.327928161051074,Privilege escalation due to improper access control in kernel module.,1
CVE-2024-1002,2024-01-05,8.15007617401642,SQL injection vulnerability in web application login module.,0
CVE-2024-1003,2024-01-07,5.139098406029153,Cross-site scripting in user profile page.,0
CVE-2024-1004,2024-01-09,7.469768632996565,Cross-site scripting in user profile page.,1
CVE-2024-1005,2024-01-11,6.517817367909345,Cross-site scripting in user profile page.,0
CVE-2024-1006,2024-01-13,6.29776638707488,Authentication bypass in API gateway component.,0
CVE-2024-1007,2024-01-15,9.1279027604143,Privilege escalation due to improper access control in kernel module.,1
CVE-2024-1008,2024-01-17,6.771586398617766,SQL injection vulnerability in web application login module.,0
CVE-2024-1009,2024-01-19,8.622658900731127,Buffer overflow in network service allows remote code execution.,0
CVE-2024-1010,2024-01-21,7.933900031890128,Buffer overflow in network service allows remote code execution.,0
CVE-2024-1011,2024-01-23,3.262189273201189,Buffer overflow in network service allows remote code execution.,0
CVE-2024-1012,2024-01-25,8.25714835703685,Privilege escalation due to improper access control in kernel module.,0
CVE-2024-1013,2024-01-27,4.474717700619077,Cross-site scripting in user profile page.,1
CVE-2024-1014,2024-01-29,9.141417598590687,SQL injection vulnerability in web application login module.,0
CVE-2024-1015,2024-01-31,3.2918844961400575,Authentication bypass in API gateway component.,1
CVE-2024-1016,2024-02-02,5.264889834425368,Cross-site scripting in user profile page.,0
CVE-2024-1017,2024-02-04,3.678184041196327,Authentication bypass in API gateway component.,0
CVE-2024-1018,2024-02-06,6.234005996176938,Cross-site scripting in user profile page.,1
CVE-2024-1019,2024-02-08,8.576152563914313,Buffer overflow in network service allows remote code execution.,0
CVE-2024-1020,2024-02-10,5.027674045708836,Cross-site scripting in user profile page.,0
CVE-2024-1021,2024-02-12,4.026357301715083,Buffer overflow in network service allows remote code execution.,1
CVE-2024-1022,2024-02-14,5.2458158427389145,Buffer overflow in network service allows remote code execution.,0
CVE-2024-1023,2024-02-16,8.534384965060326,SQL injection vulnerability in web application login module.,0
